,business_id,stars,positive_count,negative_count,sentiment_score_%,keyword,group
123,kwtKZ3fzM5jlR8Z7KIA17g,5.0,7,0,100.0,food,food
124,l6rgXoUfz4Wh_lAGxDiNaA,5.0,0,0,,food,food
125,m4xrhESFLaA7PiddXeg2aw,3.5,35,1,97.22222222222224,food,food
126,nhOMsw22-rz9kXSKwBZYAQ,4.0,0,0,,food,food
127,o4IiNbNybcy-L4vzTSoDJw,4.0,168,15,91.8032786885246,food,food
128,oGDGlUbOjHxmmCh8ZYcDCg,4.0,357,14,96.22641509433964,food,food
129,oTcezJoCe30NrwiNFsoLXQ,4.5,39,4,90.69767441860463,food,food
130,oinV9xrSkR3b_T8sK1nsqg,3.5,116,7,94.3089430894309,food,food
131,omnCKxL0f_akh0eYeJxjDg,4.0,69,4,94.52054794520548,food,food
132,pKSB4wXLiS8rd1cAEgD8oA,4.5,7,0,100.0,food,food
133,pQh2GzkAnbLKiDqEpxcylQ,5.0,0,0,,food,food
134,pqF3WkYktbR28uk2PSR7Rg,4.0,25,1,96.15384615384616,food,food
135,q-1ICFSqs2MwDGfe5tX-SQ,4.0,62,3,95.3846153846154,food,food
136,q75UQjNm6AEK4XNnkDLxTQ,4.0,37,1,97.36842105263158,food,food
137,qUyU8Amr1NjuE3TBFs2n4A,5.0,1,0,100.0,food,food
138,qVitsouI4aBiYx1_Fjn0Pg,4.0,60,3,95.23809523809524,food,food
139,r2IhvKZQ_wLR5mLBnPOilg,4.5,106,1,99.06542056074768,food,food
140,s-iUpeKVCuPd5m4OJ3HixQ,4.0,0,0,100.0,food,food
141,sZHLbLnw1vwHF1xDzuV1iw,4.5,0,0,,food,food
142,sj2o49ZCq2iJlZxDNrHDaA,4.5,4,0,100.0,food,food
143,sjWf71VmU5HIwqX8RGCLJw,4.5,4,0,100.0,food,food
144,sk0IM8koYo1o9-k_rpkmxQ,4.5,12,0,100.0,food,food
145,sz5SMsTOTAshdfsaK98-TA,4.0,68,5,93.15068493150685,food,food
146,tZnPqmwGcLjYeBdwyvhazg,4.0,7,0,100.0,food,food
147,thlyktt2c7v1DyOpSVSibw,4.0,188,7,96.4102564102564,food,food
148,tthy48ZIX_wfY8Dy0Dvg6w,4.5,390,9,97.74436090225564,food,food
149,vgDl4_ZjoLLIU2ZPL83GIg,4.0,1,0,100.0,food,food
150,vsrryxBR2Jykl71qa1H6SQ,4.0,27,3,90.0,food,food
151,w8AxfAjNq7wU5jHmpLSpNg,3.5,1,0,100.0,food,food
152,wK2IixmZUOEFGz1QZqR99Q,4.0,15,0,100.0,food,food
153,wMZAnrfwV-qHiV5zdTSrzw,4.0,74,4,94.87179487179488,food,food
154,x2ly0NsSTMmMpljpdIZdYA,4.5,194,10,95.09803921568628,food,food
155,xRapA2lG7mjJ6eOqHmxe-A,4.0,43,3,93.47826086956522,food,food
156,xTYLUPg8Xg-z3cYoPpcJqQ,4.5,0,0,,food,food
157,yLqFm4epPkbkPpan9gmEjA,4.0,0,0,100.0,food,food
158,ySRkAFddd1tCUzRDjbECdg,4.0,7,1,87.5,food,food
159,ycbmvmBYk4w_ZmdrPL0tBQ,4.0,65,6,91.54929577464787,food,food
160,ywXa1pDqHPe9tOPx0yJFUg,3.0,10,1,90.9090909090909,food,food
161,zbrIMldF_O1ZQ0vpUaaa8A,4.0,163,11,93.67816091954025,food,food
162,zkMqKD6IZPcU10g0a2APmg,4.5,0,0,,food,food
0,-BdYhP-12elmFV7oB1iv4A,5.0,2,0,100.0,drink,drink
1,-e8RwknT5szoLk9uBZjzcw,4.0,0,0,73.86363636363636,drink,drink
2,-ujBP1Dw0j1-Ffaz97-LXQ,4.0,10,2,83.33333333333333,drink,drink
